material,pmid,doi,evidence_type,assay,target,evidence_strength,notes
Trehalose,PMID_PENDING,DOI_PENDING,protein_stabilization,enzyme,protein,high,glass_forming_excipient
Trehalose,PMID_PENDING,DOI_PENDING,membrane_preservation,liposome,membrane,high,water_replacement_hypothesis
Ectoine,PMID_PENDING,DOI_PENDING,osmolyte_protection,protein,protein,high,preferential_exclusion
Arginine,PMID_PENDING,DOI_PENDING,anti_aggregation,protein,protein,high,reduces_protein_aggregation
PEG,PMID_PENDING,DOI_PENDING,anti_adsorption,particle,interface,high,surface_passivation
Dextran,PMID_PENDING,DOI_PENDING,colloid_stabilization,particle,interface,high,crowding_effect
Poloxamer_188,PMID_PENDING,DOI_PENDING,membrane_protection,vesicle,membrane,high,interface_stabilization
Silica,PMID_PENDING,DOI_PENDING,biomineralization,EV,EV,high,mineral_encapsulation
Calcium_Phosphate,PMID_PENDING,DOI_PENDING,biomineralization,particle,microenvironment,high,protective_mineral_phase
Alginate,PMID_PENDING,DOI_PENDING,diffusion_constraint,hydrogel,microenvironment,high,hydrogel_confinement
Chitosan,PMID_PENDING,DOI_PENDING,matrix_constraint,hydrogel,microenvironment,high,polyelectrolyte_matrix
